Comment,Designator,Footprint,LCSC
SWD_JST,J1,JST_ACH_BM03B-ACHSS-GAN-ETF_1x03-1MP_P1.20mm_Vertical,C160389
10u,"C4,C1,C17",C_0805_2012Metric,C15850
1u,"C10,C8",C_0402_1005Metric,C52923
100n,"C13,C5,C9,C12,C14,C7,C11,C16,C6,C15",C_0402_1005Metric,C1525
10k,R2,R_0402_1005Metric,C25744
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,C26537
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
1k,"R1,R3",R_0402_1005Metric,C11702
RP2040,U3,RP2040-QFN-56,C2040
Crystal_GND24,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C1985619
LED,D1,LED_0603_1608Metric,C2290
0.47uF,"C3,C2",C_0402_1005Metric,C47339
SW_Push,SW1,TS-1187A-PushButton,C318884
Si5351A-B-GT,U4,MSOP-10_3x3mm_P0.5mm,C504891
4.7k,"R5,R4",R_0402_1005Metric,C25900
BM23FR0.6-6DS-0.35V_51_,"PTP4,PTP3,PTP2,PTP1",JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C3029336
